"SalesDate","Organization","DayOfInterest","DayOfInterestCode","DayOfWeek","DayOfWeekCode","InKingCounty","InKitsapCounty","InPierceCounty","InSnohomishCounty","InSpokaneCounty","InVancouver","IsOrdinaryDay","Log1pDaysSinceOpening","NumLocationsGroup"
2017-03-05,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.53813982376767,1
2017-03-06,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.53958595561767,1
2017-03-07,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.5410299991899,1
2017-03-08,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.5424719605068,1
2017-03-09,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.54391184556479,1
2017-03-10,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.54534966033442,1
2017-03-11,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.54678541076052,1
2017-03-12,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.54821910276237,1
2017-03-13,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.54965074223381,1
2017-03-14,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.5510803350434,1
2017-03-15,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.55250788703459,1
2017-03-16,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.55393340402581,1
2017-03-17,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.55535689181067,1
2017-03-18,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.55677835615804,1
2017-03-19,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.55819780281227,1
2017-03-20,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.55961523749324,1
2017-03-21,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.56103066589657,1
2017-03-22,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.56244409369372,1
2017-03-23,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.56385552653213,1
2017-03-24,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.56526497003536,1
2017-03-25,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.56667242980324,1
2017-03-26,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.56807791141198,1
2017-03-27,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.5694814204143,1
2017-03-28,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.57088296233958,1
2017-03-29,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.57228254269401,1
2017-03-30,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.57368016696065,1
2017-03-31,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.57507584059962,1
2017-03-05,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.39362754635236,1
2017-03-06,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.39816270151775,1
2017-03-07,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.40267738187228,1
2017-03-08,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.40717177146012,1
2017-03-09,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.41164605185504,1
2017-03-10,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.41610040220442,1
2017-03-11,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.42053499927229,1
2017-03-12,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.4249500174814,1
2017-03-13,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.42934562895444,1
2017-03-14,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.43372200355424,1
2017-03-15,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.4380793089232,1
2017-03-16,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.44241771052179,1
2017-03-17,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.44673737166631,1
2017-03-18,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.4510384535657,1
2017-03-19,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.4553211153577,1
2017-03-20,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.45958551414416,1
2017-03-21,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.46383180502561,1
2017-03-22,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.46806014113513,1
2017-03-23,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.47227067367148,1
2017-03-24,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.47646355193151,1
2017-03-25,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.48063892334199,1
2017-03-26,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.48479693349065,1
2017-03-27,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.48893772615669,1
2017-03-28,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.49306144334055,1
2017-03-29,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.4971682252932,1
2017-03-30,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.50125821054473,1
2017-03-31,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.50533153593236,1
2017-03-05,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.59714570188665,2
2017-03-06,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.59850902861452,2
2017-03-07,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.59987049921284,2
2017-03-08,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.60123011872888,2
2017-03-09,"2020 SOLUTIONS","N/A",0,"Thursday",2,0,0,0,0,0,0,1,6.60258789218934,2
2017-03-10,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.60394382460047,2
2017-03-11,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.6052979209482,2
2017-03-12,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.60665018619822,2
2017-03-13,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.60800062529609,2
2017-03-14,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.60934924316738,2
2017-03-15,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.61069604471776,2
2017-03-16,"2020 SOLUTIONS","N/A",0,"Thursday",2,0,0,0,0,0,0,1,6.61204103483309,2
2017-03-17,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.61338421837956,2
2017-03-18,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.61472560020376,2
2017-03-19,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.61606518513282,2
2017-03-20,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.61740297797448,2
2017-03-21,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.61873898351722,2
2017-03-22,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.62007320653036,2
2017-03-23,"2020 SOLUTIONS","N/A",0,"Thursday",2,0,0,0,0,0,0,1,6.62140565176413,2
2017-03-24,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.62273632394984,2
2017-03-25,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.62406522779989,2
2017-03-26,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.62539236800796,2
2017-03-27,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.62671774924902,2
2017-03-28,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.62804137617953,2
2017-03-29,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.62936325343745,2
2017-03-30,"2020 SOLUTIONS","N/A",0,"Thursday",2,0,0,0,0,0,0,1,6.63068338564237,2
2017-03-31,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.63200177739563,2
2017-03-05,"2020 SOLUTIONS ON THE GUIDE","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.59714570188665,1
2017-03-06,"2020 SOLUTIONS ON THE GUIDE","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.59850902861452,1
