"SalesDate","Organization","DayOfInterest","DayOfInterestCode","DayOfWeek","DayOfWeekCode","InKingCounty","InKitsapCounty","InPierceCounty","InSnohomishCounty","InSpokaneCounty","InVancouver","IsOrdinaryDay","Log1pDaysSinceOpening","NumLocationsGroup"
2017-04-01,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.57646956904822,1
2017-04-02,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.57786135772105,1
2017-04-03,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.5792512120101,1
2017-04-04,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.58063913728495,1
2017-04-05,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.58202513889283,1
2017-04-06,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.58340922215876,1
2017-04-07,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.58479139238572,1
2017-04-08,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.58617165485467,1
2017-04-09,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.5875500148248,1
2017-04-10,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.58892647753352,1
2017-04-11,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.59030104819669,1
2017-04-12,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.59167373200866,1
2017-04-13,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.59304453414244,1
2017-04-14,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.59441345974978,1
2017-04-15,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.59578051396131,1
2017-04-16,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.59714570188665,1
2017-04-17,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.59850902861452,1
2017-04-18,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.59987049921284,1
2017-04-19,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.60123011872888,1
2017-04-20,"#HASHTAG","FourTwenty",3,"Thursday",2,1,0,0,0,0,0,0,6.60258789218934,1
2017-04-21,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.60394382460047,1
2017-04-22,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.6052979209482,1
2017-04-23,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.60665018619822,1
2017-04-24,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.60800062529609,1
2017-04-25,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.60934924316738,1
2017-04-26,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.61069604471776,1
2017-04-27,"#HASHTAG","FourTwentySeven",-3,"Thursday",2,1,0,0,0,0,0,0,6.61204103483309,1
